,역이름,위도,경도,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원
464,일원역,37.4839850708765,127.084120707858,3,0,2041,1367,7977,8706,21830,29554,20500,25794,14423,17003,13853,14589,14613,10705,14191,12220,13454,14211,14492,11677,18640,11256,24344,10136,31861,12734,16791,18286,8658,15603,5671,9359,3900,9217,3283,10911,840,3473,2,37,0,0,0,1,0,0
465,잠실나루역,37.5206944003696,127.103799674868,9,0,2888,1301,11170,9859,37680,22502,44019,37029,26770,23710,20188,16666,18881,14724,19371,18481,17666,18590,18929,16961,21213,16351,26567,17057,32030,22858,29633,38561,13884,28189,10075,16309,8001,15802,6336,18850,1582,6268,1,71,1,1,0,0,0,0
466,잠실새내역,37.5116083485804,127.08630073432,15,1,3943,772,15477,8677,52727,16751,68707,27172,40567,28195,25488,21092,23626,22387,25973,24955,26374,27136,24553,28886,26073,32549,33011,37035,33200,51340,37006,79253,27642,53947,24241,28098,27132,24508,29132,29107,5109,10137,9,417,0,0,0,0,0,0
467,잠실역,37.5133092702048,127.100215181119,84,10,10494,4444,43095,37172,108060,71598,154031,152933,107758,122393,67909,79843,66672,81577,74560,82984,81597,88254,83596,86447,91782,91337,111312,104468,151378,135678,193206,202206,120887,135526,115080,79176,99442,75009,82945,86809,13180,26898,5,234,2,2,1,0,0,0
468,잠실역,37.5133092702048,127.100215181119,1,0,1146,1986,3901,10254,8855,27809,12863,70771,8844,37059,8863,22218,10658,22820,12901,24343,15338,23951,18471,23306,22845,23919,27073,23545,38347,27680,59854,36432,33058,19679,29073,9434,27170,7037,23535,7125,3266,2207,3,315,0,0,0,0,0,0
471,잠원역,37.5128827106508,127.011401392881,2,0,889,461,4546,5134,11912,6916,15034,10048,9154,6587,6228,4451,6049,5061,6852,5696,6968,6314,6258,6333,7093,6757,8826,7655,10273,9983,10110,14540,6418,10247,4256,6060,4457,5852,3773,7447,585,2311,0,5,1,1,0,0,0,0
472,장승배기역,37.5048846414365,126.939063345317,24,0,7031,1057,11382,4113,29589,8220,42620,17650,24047,10131,14373,9235,12309,9206,12635,9232,13087,10259,11812,11159,11152,13405,12887,15993,13359,20421,15591,33430,8619,26536,6383,14962,6151,14380,5177,15292,1412,6756,5,360,0,0,0,0,0,0
473,장지역,37.478631698139,127.126172045084,3,0,5496,2230,16947,9278,46778,22909,53690,52369,28101,29967,17272,19637,15915,17058,18932,19659,18918,19606,18591,19604,21740,22668,27951,25825,36276,30659,49675,49304,25747,34050,20668,19447,18580,16043,13311,19433,2644,7446,0,10,0,0,0,0,0,0
474,장한평역,37.5615921805583,127.063699193793,5,0,6411,993,17053,10360,52515,21799,69987,68975,34141,28752,20177,16252,17532,14470,20005,15903,19888,16601,19089,16745,19994,19345,24153,23719,34897,33812,55639,60211,24774,44937,14592,24733,13125,21102,11354,23590,2236,9428,10,1019,0,1,0,0,0,0
475,정릉역,37.6026037968404,127.013521423935,2,1,1917,460,5181,1586,13616,2977,16406,6401,11238,3622,8020,3653,6902,3886,7413,4827,6951,4961,6183,5546,5945,6741,6257,7958,6909,10216,7234,15313,4045,12146,2496,7195,2238,6160,1683,5831,477,2073,1,3,0,0,0,0,0,0
