,gid,2030val,layer,geometry
53,ㅼ궗605432,996.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0531946859012 37.48720009294945, 127.0531893175113 37.48810143403036, 127.054320452431 37.48810570649469, 127.0543258072315 37.48720436527548, 127.0531946859012 37.48720009294945)))"
54,ㅼ궗610449,51.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0587601552883 37.5025441375271, 127.0587548508305 37.50344547694142, 127.0598862180499 37.50344969758189, 127.059891508908 37.50254835803097, 127.0587601552883 37.5025441375271)))"
55,ㅼ궗602437,61.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.049774275148 37.49169391293282, 127.0497688647853 37.49259525290406, 127.0509000669417 37.49259955855266, 127.050905463712 37.49169821844202, 127.049774275148 37.49169391293282)))"
56,ㅼ궗603423,8.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.050980993263 37.47907944234856, 127.0509755998568 37.47998078439845, 127.0521066120153 37.47998507727009, 127.0521119918375 37.47908373508123, 127.050980993263 37.47907944234856)))"
57,ㅼ궗654413,43.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.1087092080761 37.47027107437644, 127.1087045095566 37.47117242445088, 127.1098353973468 37.47117616397802, 127.1098400822879 37.4702748137825, 127.1087092080761 37.47027107437644)))"
58,ㅼ궗586444,76.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0316358911688 37.49793291278395, 127.0316302615746 37.4988342495074, 127.0327615549649 37.49883872946406, 127.0327671709626 37.49793739259562, 127.0316358911688 37.49793291278395)))"
60,ㅼ궗586475,44.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0314612570952 37.52587428675992, 127.0314556197221 37.52677561918644, 127.0325873349023 37.52678010364011, 127.0325929586601 37.52587877106847, 127.0314612570952 37.52587428675992)))"
61,ㅼ궗602449,53.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0497093348878 37.50250998344458, 127.0497039216325 37.50341132175339, 127.0508352869447 37.50341562907474, 127.0508406866003 37.50251429062653, 127.0497093348878 37.50250998344458)))"
62,ㅼ궗597440,127.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0441019002492 37.49437624032076, 127.0440964211927 37.49527757917424, 127.0452276629187 37.49528193940051, 127.0452331283811 37.4943806004059, 127.0441019002492 37.49437624032076)))"
63,ㅼ궗633435,106.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0848512070052 37.49001965881808, 127.0848462184557 37.49092100322382, 127.0859774005976 37.49092497285492, 127.0859823755556 37.49002362832067, 127.0848512070052 37.49001965881808)))"
64,ㅼ궗611467,19.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0597962373955 37.51877244875394, 127.0597909422936 37.51967378581143, 127.0609225546477 37.51967799806997, 127.0609278361389 37.51877666087618, 127.0597962373955 37.51877244875394)))"
65,ㅼ궗598432,44.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0452768433175 37.4871698834615, 127.0452713798023 37.48807122356444, 127.0464025130355 37.48807557183262, 127.0464079629614 37.48717423158891, 127.0452768433175 37.4871698834615)))"
66,ㅼ궗611450,70.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0598862180499 37.50344969758189, 127.0598809269561 37.50435103699431, 127.0610123080115 37.50435524693589, 127.0610175855049 37.50345390738722, 127.0598862180499 37.50344969758189)))"
67,ㅼ궗621444,167.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0712308288225 37.49808326058886, 127.0712256751102 37.49898460217899, 127.0723569768954 37.49898870296877, 127.0723621170108 37.49808736124589, 127.0712308288225 37.49808326058886)))"
68,ㅼ궗591430,18.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0373701291949 37.485336464734, 127.03736457105 37.48623780411894, 127.0384956753892 37.48624222790416, 127.0385012199461 37.48534088837604, 127.0373701291949 37.485336464734)))"
69,ㅼ궗601474,146.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0484422394981 37.52503907808708, 127.0484368065966 37.52594041279207, 127.0495685118554 37.52594473444375, 127.0495739311422 37.5250433995989, 127.0484422394981 37.52503907808708)))"
70,ㅼ궗607421,81.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0555156664238 37.47729386270257, 127.0555103278289 37.47819520558327, 127.0566413137748 37.4781994548758, 127.056646638787 37.47729811185755, 127.0555156664238 37.47729386270257)))"
71,ㅼ궗613463,121.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0620805042934 37.51517551145296, 127.0620752373514 37.51607684933683, 127.0632067957363 37.51608103936999, 127.0632120490701 37.51517970135051, 127.0620805042934 37.51517551145296)))"
72,ㅼ궗582447,53.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0270937218079 37.50061889321267, 127.0270880370686 37.50152022893674, 127.028219370245 37.50152475266546, 127.0282250413862 37.50062341679497, 127.0270937218079 37.50061889321267)))"
73,ㅼ궗593432,139.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0396212487602 37.48714798039347, 127.0396157172986 37.48804931978734, 127.040746849309 37.4880537222009, 127.0407523671813 37.48715238266452, 127.0396212487602 37.48714798039347)))"
74,ㅼ궗605474,38.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0529690075203 37.52505629907336, 127.0529636290779 37.52595763433564, 127.0540953352988 37.52596191261189, 127.0541007001263 37.52506057721114, 127.0529690075203 37.52505629907336)))"
75,ㅼ궗599444,125.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0463425478264 37.49799030536983, 127.0463370949868 37.49889164395104, 127.0474683915818 37.49889598307531, 127.0474738308248 37.49799464435366, 127.0463425478264 37.49799030536983)))"
77,ㅼ궗609442,65.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0576660216761 37.49623052736847, 127.0576607052764 37.49713186761544, 127.0587919770741 37.49713609813239, 127.0587972798783 37.49623475774847, 127.0576660216761 37.49623052736847)))"
78,ㅼ궗606428,147.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0543472240486 37.48359899901352, 127.054341870202 37.48450034078677, 127.0554729510063 37.48450460187014, 127.0554782912659 37.48360325995895, 127.0543472240486 37.48359899901352)))"
79,ㅼ궗591442,29.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.037303415114 37.49615252820782, 127.0372978539975 37.49705386592995, 127.0384291214401 37.49705829143396, 127.0384346689613 37.49615695356857, 127.037303415114 37.49615252820782)))"
80,ㅼ궗594467,45.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0405590953387 37.51869918399258, 127.0405535688575 37.51960051867898, 127.0416851771193 37.51960491524134, 127.0416906899901 37.51870358041265, 127.0405590953387 37.51869918399258)))"
