,gid,geometry
5040,ㅼ궗563436,MULTIPOINT (127.0066683615895 37.49074681053289)
5041,ㅼ궗563436,MULTIPOINT (127.0066683615895 37.49074681053289)
5042,ㅼ궗618447,MULTIPOINT (127.0688689408354 37.50129763055848)
5043,ㅼ궗620426,MULTIPOINT (127.0704126571769 37.4824036038288)
5044,ㅼ궗620426,MULTIPOINT (127.0704126571769 37.4824036038288)
5045,ㅼ궗609444,MULTIPOINT (127.0586777962299 37.49828336704196)
5046,ㅼ궗609444,MULTIPOINT (127.0586777962299 37.49828336704196)
5047,ㅼ궗628400,MULTIPOINT (127.0801089863822 37.45887709598179)
5048,ㅼ궗628400,MULTIPOINT (127.0801089863822 37.45887709598179)
5049,ㅼ궗648432,MULTIPOINT (127.1024076973829 37.48783636696865)
5050,ㅼ궗604390,MULTIPOINT (127.0532748966206 37.44962205588874)
5051,ㅼ궗605392,MULTIPOINT (127.0539532320635 37.45199528516905)
5052,ㅼ궗603394,MULTIPOINT (127.0512750379696 37.4530864934406)
5053,ㅼ궗604395,MULTIPOINT (127.0523357891304 37.45385203938916)
5054,ㅼ궗608388,MULTIPOINT (127.0574767406671 37.44782652227113)
5055,ㅼ궗608388,MULTIPOINT (127.0574767406671 37.44782652227113)
5056,ㅼ궗607387,MULTIPOINT (127.0566582045515 37.44726883533996)
5057,ㅼ궗607387,MULTIPOINT (127.0566003930254 37.44747155632326)
5058,ㅼ궗607388,MULTIPOINT (127.0560211880803 37.44806045353859)
5059,ㅼ궗607388,MULTIPOINT (127.0560211880803 37.44806045353859)
5060,ㅼ궗607388,MULTIPOINT (127.0560211880803 37.44806045353859)
5061,ㅼ궗606390,MULTIPOINT (127.0548828960762 37.44943703821041)
5062,ㅼ궗606390,MULTIPOINT (127.0548828960762 37.44943703821041)
5063,ㅼ궗605390,MULTIPOINT (127.053828698901 37.45019812928594)
5064,ㅼ궗546444,MULTIPOINT (126.9870676926075 37.49840997907307)
5065,ㅼ궗654413,MULTIPOINT (127.1090863742108 37.47071060764634)
5066,ㅼ궗654413,MULTIPOINT (127.1090863742108 37.47071060764634)
5067,ㅼ궗654417,MULTIPOINT (127.1089997052783 37.47468560270075)
5068,ㅼ궗654417,MULTIPOINT (127.1089997052783 37.47468560270075)
5069,ㅼ궗654417,MULTIPOINT (127.1089997052783 37.47468560270075)
5070,ㅼ궗608431,MULTIPOINT (127.0570166822569 37.48643656130667)
5071,ㅼ궗608431,MULTIPOINT (127.0570166822569 37.48643656130667)
5072,ㅼ궗653411,MULTIPOINT (127.1078964777357 37.46895018456678)
5073,ㅼ궗653411,MULTIPOINT (127.1078964777357 37.46895018456678)
5074,ㅼ궗569456,MULTIPOINT (127.0129374040586 37.50867377999136)
5075,ㅼ궗549417,MULTIPOINT (126.9910417964015 37.47428471610992)
5076,ㅼ궗609429,MULTIPOINT (127.0578700510218 37.48512530369944)
5077,ㅼ궗564421,MULTIPOINT (127.0070991004808 37.47747381773397)
5078,ㅼ궗657416,MULTIPOINT (127.1129831273551 37.47354462210036)
5079,ㅼ궗657416,MULTIPOINT (127.1130788126892 37.47358560954361)
5080,ㅼ궗657416,MULTIPOINT (127.1130788126892 37.47358560954361)
5081,ㅼ궗658422,MULTIPOINT (127.1142706436654 37.47849273948857)
5082,ㅼ궗658421,MULTIPOINT (127.1139655815803 37.47836141936423)
5083,ㅼ궗661417,MULTIPOINT (127.1166974680692 37.47437904341525)
5084,ㅼ궗653416,MULTIPOINT (127.1080168126038 37.47372697688295)
5085,ㅼ궗653416,MULTIPOINT (127.1080206592898 37.47380805028948)
5086,ㅼ궗655416,MULTIPOINT (127.1105011914745 37.47342695845857)
5087,ㅼ궗661417,MULTIPOINT (127.1166895911597 37.47454715064851)
5088,ㅼ궗654417,MULTIPOINT (127.1090902814696 37.474711463723)
5089,ㅼ궗654417,MULTIPOINT (127.1090902814696 37.474711463723)
5090,ㅼ궗654417,MULTIPOINT (127.1090902814696 37.474711463723)
5091,ㅼ궗653417,MULTIPOINT (127.1078648341147 37.47391737622699)
5092,ㅼ궗653417,MULTIPOINT (127.1078648341147 37.47391737622699)
5093,ㅼ궗653417,MULTIPOINT (127.1078648341147 37.47391737622699)
5094,ㅼ궗653414,MULTIPOINT (127.1080878185609 37.47140767231571)
5095,ㅼ궗651413,MULTIPOINT (127.1062617223332 37.47091631310482)
5096,ㅼ궗636425,MULTIPOINT (127.0893876222852 37.48158601700779)
5097,ㅼ궗636425,MULTIPOINT (127.0893876222852 37.48158601700779)
5098,ㅼ궗636425,MULTIPOINT (127.0891900976161 37.48160021959522)
5099,ㅼ궗636425,MULTIPOINT (127.0891900976161 37.48160021959522)
5100,ㅼ궗636425,MULTIPOINT (127.0893625018503 37.48170738099361)
5101,ㅼ궗641427,MULTIPOINT (127.0946767533399 37.48371820354148)
5102,ㅼ궗641427,MULTIPOINT (127.0946767533399 37.48371820354148)
5103,ㅼ궗587476,MULTIPOINT (127.0333817450035 37.52749326722699)
5104,ㅼ궗591477,MULTIPOINT (127.0373456123646 37.52857924472922)
5105,ㅼ궗590478,MULTIPOINT (127.0369820686566 37.52865567210282)
5106,ㅼ궗591478,MULTIPOINT (127.0374860985961 37.52874783871971)
5107,ㅼ궗609396,MULTIPOINT (127.0580029287636 37.45561047539682)
5108,ㅼ궗595463,MULTIPOINT (127.0419495037952 37.51517781480903)
5109,ㅼ궗655416,MULTIPOINT (127.1106605940026 37.47350489649642)
5110,ㅼ궗655416,MULTIPOINT (127.1106605940026 37.47350489649642)
5111,ㅼ궗657416,MULTIPOINT (127.112972512396 37.47370138096447)
5112,ㅼ궗657416,MULTIPOINT (127.112972512396 37.47370138096447)
5113,ㅼ궗659421,MULTIPOINT (127.1144226815565 37.4782625029944)
5114,ㅼ궗659420,MULTIPOINT (127.1149864334207 37.47730759658245)
5115,ㅼ궗659420,MULTIPOINT (127.1149864334207 37.47730759658245)
5116,ㅼ궗661417,MULTIPOINT (127.1167991949959 37.47437813213514)
5117,ㅼ궗661417,MULTIPOINT (127.1167991949959 37.47437813213514)
5118,ㅼ궗653416,MULTIPOINT (127.1077124817534 37.47384778905279)
5119,ㅼ궗653416,MULTIPOINT (127.1078723450277 37.47371683911547)
5120,ㅼ궗653416,MULTIPOINT (127.1078723450277 37.47371683911547)
5121,ㅼ궗653416,MULTIPOINT (127.1078723450277 37.47371683911547)
5122,ㅼ궗653414,MULTIPOINT (127.1081815197173 37.47148731223977)
5123,ㅼ궗653414,MULTIPOINT (127.1081815197173 37.47148731223977)
5124,ㅼ궗652414,MULTIPOINT (127.1065437815567 37.47159467326441)
5125,ㅼ궗652414,MULTIPOINT (127.1065437815567 37.47159467326441)
5126,ㅼ궗652414,MULTIPOINT (127.1066974967561 37.47143427245098)
5127,ㅼ궗651414,MULTIPOINT (127.1064218869224 37.47147884306393)
5128,ㅼ궗652414,MULTIPOINT (127.1070718199549 37.47141852923692)
