gid,acci_cnt,2030val,과속방지턱,무인카메라,신호등,버스아침승차,버스아침하차,버스저녁승차,버스저녁하차,관광여가오락,부동산,생활서비스,소매점,숙박,스포츠,음식점,학교,교육,출근시간자전거,퇴근시간자전거,지하철아침승차,지하철아침하차,지하철저녁승차,지하철저녁하차
다사606445,0,0.010040161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.038461538,0.067010309,0.032386868,0,0,0,0
다사617442,0,0.207831325,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0.019230769,0.085051546,0.053682343,0,0,0,0
다사647409,0,0.153614458,0,0,0.333333333,0.089542374,0.017620017,0.148439363,0.056426563,0,0.035714286,0.019607843,0.008746356,0,0,0.011952191,0,0,0.025773196,0.003992902,0,0,0,0
다사642424,0,0.069277108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010309278,0.007542147,0,0,0,0
다사585446,0,0.156626506,0,0,0,0,0,0,0,0,0,0.058823529,0.002915452,0,0.333333333,0.011952191,0,0,0.046391753,0.029281278,0,0,0,0
다사597455,0,0.010040161,0,0,0,0,0,0,0,0,0,0.058823529,0.008746356,0,0,0.019920319,0,0.019230769,0.118556701,0.098491571,0,0,0,0
다사648409,0,0.131526104,0,0,0,0,0,0,0,0,0,0.019607843,0.005830904,0,0,0,0,0.019230769,0.038659794,0.007985803,0,0,0,0
다사593437,0,0.013052209,0,0,0.1,0,0,0,0,0.153846154,0.142857143,0.078431373,0.029154519,0,0,0.067729084,0,0.211538462,0.103092784,0.045696539,0,0,0,0
다사599465,0,0.017068273,0,0,0,0,0,0,0,0,0.178571429,0.039215686,0.011661808,0,0,0.051792829,0,0,0.048969072,0.055456965,0,0,0,0
다사608451,0,0.15562249,0,0,0,0,0,0,0,0.153846154,0.107142857,0.215686275,0.005830904,0,0,0.075697211,0,0.038461538,0.082474227,0.038154392,0,0,0,0
다사618440,0,0.081325301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265463918,0.141969831,0,0,0,0
다사576468,0,0.083333333,0,0,0,0,0,0,0,0,0.071428571,0.098039216,0.014577259,0,0,0.06374502,0,0.038461538,0.074742268,0.08296362,0,0,0,0
다사590467,0,0.191767068,0,0,0,0,0,0,0,0,0,0,0.005830904,0,0,0.003984064,0,0,0.051546392,0.061668146,0,0,0,0
다사596442,0,0.246987952,0,0,0,0,0,0,0,0,0.035714286,0.039215686,0.008746356,0,0,0.027888446,0,0,0.097938144,0.027062999,0,0,0,0
다사596475,0,0.016064257,0,0,0,0,0,0,0,0,0,0.078431373,0.017492711,0,0,0.007968127,0,0,0.074742268,0.081188997,0,0,0,0
다사596459,0,0.0562249,0,0,0.033333333,0,0,0,0,0.076923077,0.035714286,0,0.026239067,0,0,0.027888446,0,0.019230769,0.113402062,0.114906832,0,0,0,0
다사615445,0,0.079317269,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0.007968127,0,0,0.239690722,0.149511979,0,0,0,0
다사592437,0,0,0,0,0.133333333,0.09843347,0.322649057,0.468211557,0.372014733,0.538461538,0.035714286,0.039215686,0.017492711,0,0.333333333,0.047808765,0,0,0.170103093,0.071428571,0,0,0,0
다사611446,0,0.027108434,0,0,0,0,0,0,0,0,0.107142857,0.039215686,0.002915452,0,0,0.019920319,0,0.115384615,0.159793814,0.092724046,0,0,0,0
다사598443,0,0.112449799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24742268,0.086512866,0,0,0,0
다사646408,0,0.124497992,0,0,0,0,0,0,0,0.076923077,0,0.019607843,0.011661808,0,0,0.023904382,0,0,0.059278351,0.013309672,0,0,0,0
다사581454,0,0.088353414,0,0,0,0,0,0,0,0.076923077,0.178571429,0.254901961,0.034985423,0,0,0.047808765,0,0.076923077,0.085051546,0.055900621,0,0,0,0
다사631424,0,0.075301205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020618557,0.015084295,0,0,0,0
다사582446,0,0.020080321,0,0,0,0,0,0,0,0.230769231,0.178571429,0.137254902,0.011661808,0,0,0.175298805,0,0.019230769,0.056701031,0.033717835,0,0,0,0
다사596451,0,0.090361446,0,0,0,0,0,0,0,0.307692308,0.035714286,0.274509804,0.026239067,0.4,0,0.243027888,0,0.038461538,0.105670103,0.030168589,0,0,0,0
다사615454,0,0,0,0,0,0,0,0,0,0,0.035714286,0.039215686,0.005830904,0,0,0.043824701,0,0,0.113402062,0.060780834,0,0,0,0
다사644431,0,0.190763052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108247423,0.059449867,0,0,0,0
다사587481,0,0.052208835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317010309,0.350931677,0,0,0,0
다사605432,0,1,0,0,0.133333333,0,0,0,0,0,0.142857143,0.137254902,0.034985423,0,0,0.083665339,0,0,0.159793814,0.085625555,0,0,0,0
다사610449,0,0.051204819,0,0,0.133333333,0,0,0,0,0.076923077,0,0.039215686,0.008746356,0.2,0,0.035856574,0,0.153846154,0.152061856,0.080301686,0,0,0,0
다사602437,0,0.06124498,0,0,0,0,0,0,0,0,0,0,0.002915452,0,0,0,0,0,0.041237113,0.025732032,0,0,0,0
다사603423,0,0.008032129,0,0,0,0.011027736,0.026011915,0.021884874,0.041238786,0,0,0.019607843,0,0,0,0,0,0,0.06185567,0.030612245,0,0,0,0
다사654413,0,0.043172691,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0.007968127,0,0,0.023195876,0.003992902,0,0,0,0
다사586444,0,0.076305221,0,0,0,0,0,0,0,0.076923077,0.285714286,0.058823529,0.002915452,0.2,0,0.067729084,0,0.038461538,0.152061856,0.057231588,0,0,0,0
다사595473,0,0,0,0,0,0,0,0,0,0,0,0.254901961,0.005830904,0,0,0.067729084,0,0,0.159793814,0.158828749,0,0,0,0
다사586475,0,0.044176707,0,0,0,0,0,0,0,0,0,0.058823529,0.002915452,0,0,0,0,0,0.182989691,0.170363798,0,0,0,0
다사602449,0,0.053212851,0,0,0.2,0.023923815,0.139542627,0.097030069,0.192931733,0.538461538,0.071428571,0.137254902,0.032069971,0,0,0.131474104,0,0.365384615,0.095360825,0.044809228,0,0,0,0
다사597440,0,0.12751004,0,0,0,0,0,0,0,0,0.035714286,0,0.005830904,0,0.333333333,0.015936255,0,0.019230769,0.069587629,0.031055901,0,0,0,0
다사633435,0,0.106425703,0,0,0,0,0,0,0,0.076923077,0,0,0.005830904,0,0,0.019920319,0,0,0.06443299,0.020408163,0,0,0,0
다사611467,0,0.019076305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25257732,0.245341615,0,0,0,0
다사598432,0,0.044176707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019920319,0,0,0.128865979,0.063442768,0,0,0,0
다사611450,0,0.070281124,0,0,0.033333333,0,0,0,0,0,0.035714286,0.019607843,0.002915452,0,0,0.007968127,0,0.115384615,0.144329897,0.088731145,0,0,0,0
다사621444,0,0.167670683,0,0,0,0,0,0,0,0,0.071428571,0.137254902,0.008746356,0,0.333333333,0.023904382,0,0.038461538,0.128865979,0.070984916,0,0,0,0
다사591430,0,0.018072289,0,0,0,0,0,0,0,0.076923077,0,0.078431373,0.032069971,0,0,0.035856574,0,0.115384615,0.054123711,0.031055901,0,0,0,0
다사601474,0,0.146586345,0,0,0,0,0,0,0,0.153846154,0.035714286,0.058823529,0.011661808,0,0,0.079681275,0,0.019230769,0.237113402,0.232919255,0,0,0,0
다사607421,0,0.081325301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054123711,0.020408163,0,0,0,0
다사613463,0,0.121485944,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0.007968127,0,0,0.322164948,0.166370896,0,0,0,0
다사582447,0,0.053212851,0,0,0,0,0,0,0,0.153846154,0,0.078431373,0.008746356,0,0,0.087649402,0,0.019230769,0.146907216,0.089618456,0,0,0,0
다사593432,0,0.139558233,0,0,0,0,0,0,0,0,0.107142857,0.117647059,0.008746356,0,0,0.003984064,0,0.115384615,0.067010309,0.037710736,0,0,0,0
다사605474,0,0.03815261,0,0,0.133333333,0,0,0,0,0,0,0,0.002915452,0,0,0.019920319,0,0,0.394329897,0.332741792,0,0,0,0
다사599444,0,0.125502008,0,0,0,0,0,0,0,0,0,0,0.002915452,0,0,0,0,0.019230769,0.06185567,0.022182786,0,0,0,0
다사590445,0,0,0,0,0,0,0,0,0,0,0,0.078431373,0.002915452,0.2,0,0.067729084,0,0,0.141752577,0.046583851,0,0,0,0
다사609442,0,0.065261044,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0.074742268,0.042147294,0,0,0,0
다사606428,0,0.147590361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097938144,0.051464064,0,0,0,0
다사591442,0,0.029116466,0,0,0,0,0,0,0,0,0,0.078431373,0.020408163,0,0,0.051792829,0,0.057692308,0.06443299,0.018189885,0,0,0,0
다사592449,0,0.021084337,0,0,0,0,0,0,0,0.076923077,0.035714286,0.039215686,0.020408163,0.6,0,0.083665339,0,0.019230769,0.12628866,0.051020408,0,0,0,0
다사606450,0,0.112449799,0,0,0,0,0,0,0,0.153846154,0.035714286,0.196078431,0.008746356,0,0,0.19123506,0,0,0.268041237,0.111357587,0,0,0,0
다사584455,0,0.232931727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011952191,0,0,0.103092784,0.091836735,0,0,0,0
다사590465,0,0.059236948,0,0,0,0,0,0,0,0,0.071428571,0.098039216,0.008746356,0,0,0.051792829,0,0.019230769,0.144329897,0.118456078,0,0,0,0
다사615463,0,0.043172691,0,0,0,0,0,0,0,0,0.107142857,0.019607843,0.002915452,0,0,0.047808765,0,0,0.149484536,0.085181899,0,0,0,0
다사579463,0,0.006024096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077319588,0.069210293,0,0,0,0
다사589439,0,0.167670683,0,0,0,0,0,0,0,0.230769231,0.107142857,0.058823529,0.011661808,0,0,0.06374502,0,0.019230769,0.136597938,0.050133097,0,0,0,0
다사600476,0,0.03815261,0,0,0,0,0,0,0,0,0,0.039215686,0,0,0,0.023904382,0,0,0.069587629,0.077196096,0,0,0,0
다사603422,0,0.141566265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007968127,0,0,0.06185567,0.030612245,0,0,0,0
다사595453,0,0.205823293,0,0,0,0,0,0,0,0,0.035714286,0.019607843,0.002915452,0,0,0,0,0,0.12628866,0.091836735,0,0,0,0
다사599478,0,0.034136546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275773196,0.311889973,0,0,0,0
다사586455,0,0.100401606,0,0,0,0,0,0,0,0,0.035714286,0.098039216,0.002915452,0,0,0.06374502,0,0,0.103092784,0.099822538,0,0,0,0
다사605456,0,0.147590361,0,0,0,0,0,0,0,0,0.035714286,0.019607843,0.002915452,0,0,0.003984064,0,0,0.082474227,0.042590949,0,0,0,0
다사601421,0,0.152610442,0,0,0,0,0,0,0,0.076923077,0,0.039215686,0.002915452,0,0,0.003984064,0,0.019230769,0.244845361,0.108695652,0,0,0,0
다사604448,0,0.104417671,0,0,0,0,0,0,0,0.076923077,0.071428571,0.098039216,0.032069971,0,0,0.09561753,0,0.038461538,0.201030928,0.100266193,0,0,0,0
다사611445,0,0.007028112,0,0,0.2,0,0,0,0,0,0.035714286,0,0.008746356,0,0,0.023904382,0,0.173076923,0.090206186,0.050576752,0,0,0,0
다사601422,0,0.044176707,0,0,0.133333333,0.04298395,0.166292967,0.12615668,0.313219383,0,0.035714286,0.019607843,0.002915452,0,0,0.019920319,0,0,0.190721649,0.0891748,0,0,0,0
다사602438,0,0.202811245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113402062,0.059006211,0,0,0,0
다사620446,0,0.062248996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003984064,0,0.019230769,0.216494845,0.113132209,0,0,0,0
다사591459,0,0.156626506,0,0,0,0,0,0,0,0,0,0.019607843,0.008746356,0,0,0,0,0,0.087628866,0.086956522,0,0,0,0
다사588444,0,0.02811245,0,0,0,0,0,0,0,0.153846154,0.107142857,0.039215686,0.005830904,0.2,0,0.055776892,0,0,0.072164948,0.025288376,0,0,0,0
다사585440,0,0.105421687,0,0,0,0,0,0,0,0.153846154,0.071428571,0.137254902,0.020408163,0,0,0.187250996,0,0.096153846,0.087628866,0.039929015,0,0,0,0
다사629427,0,0.185742972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010309278,0.011535049,0,0,0,0
