,gid,acci_cnt,lm_nb.step
489,다사584469,0.0,0.00537385405905767
490,다사604434,0.0,0.0053726789944018
491,다사593419,0.0,0.00536524209673913
492,다사586453,0.0,0.00536420386460387
493,다사630434,0.0,0.00534659077092399
494,다사555445,0.0,0.00533626437650439
495,다사595461,0.0,0.00533476824286006
496,다사592464,0.0,0.00533086009745382
497,다사583411,0.0,0.00533029809312735
498,다사600416,0.0,0.00531994151079969
499,다사661417,0.0,0.00531230501143138
500,다사598449,0.0,0.00529148533760795
501,다사600473,0.0,0.00528617329467475
502,다사607461,0.0,0.00527730724705806
503,다사573426,0.0,0.00527723347820671
504,다사607434,0.0,0.00527590516213675
505,다사606388,0.0,0.00527404191098366
506,다사651430,0.0,0.00527229636186362
507,다사599458,0.0,0.0052594760490889
508,다사556441,0.0,0.00525453734603941
509,다사575474,0.0,0.00523109957095253
510,다사569449,0.0,0.00523015616803949
511,다사590478,0.0,0.00520398912321607
512,다사588469,0.0,0.00520108572870653
513,다사602459,0.0,0.0052009825267948
514,다사585461,0.0,0.00519368302744805
515,다사645438,0.0,0.00518056955294622
516,다사608471,0.0,0.00517812307542735
517,다사650427,0.0,0.00516445400034896
518,다사629445,0.0,0.00516445400034896
519,다사578405,0.0,0.0051602549473277
520,다사609456,0.0,0.00515574439887914
521,다사583477,0.0,0.00515543896647875
522,다사579480,0.0,0.00514917539094014
523,다사542424,0.0,0.00513481947459142
524,다사589484,0.0,0.00512906722438313
525,다사595408,0.0,0.00512887091141429
526,다사591422,0.0,0.00512157609726513
527,다사570431,0.0,0.00511653697249934
528,다사641427,0.0,0.00511578595918755
529,다사555452,0.0,0.00511389330382005
530,다사546410,0.0,0.00510760779900232
531,다사566431,0.0,0.00508641003470681
532,다사564421,0.0,0.00507996763227928
533,다사604427,0.0,0.00505747346785417
534,다사588470,0.0,0.00505740356679056
535,다사613455,0.0,0.0050352867018201
536,다사566464,0.0,0.00503160285105181
537,다사595464,0.0,0.00502267875588446
538,다사650418,0.0,0.00501192248338428
539,다사615462,0.0,0.00497927614396179
540,다사559451,0.0,0.0049415024879359
541,다사577473,0.0,0.00493936913512241
542,다사575449,0.0,0.0049366279006214
543,다사609437,0.0,0.00493454849930508
544,다사611445,0.0,0.00490496034003346
545,다사569457,0.0,0.00489906398075478
546,다사633441,0.0,0.00488902237827624
547,다사581408,0.0,0.00488074453282926
548,다사611426,0.0,0.00485003480462566
549,다사608452,0.0,0.00484919595146965
550,다사652419,0.0,0.00484492863857633
551,다사554433,0.0,0.00483034960526521
552,다사643415,0.0,0.00481839413969035
553,다사550428,0.0,0.00480624340184393
554,다사646431,0.0,0.00479988827233348
555,다사613450,0.0,0.00479454540089511
556,다사583432,0.0,0.00477939635272629
557,다사591414,0.0,0.00477860392591392
558,다사598458,0.0,0.00477373809987548
559,다사610449,0.0,0.00475620240746348
560,다사631430,0.0,0.00475361100633283
561,다사541427,0.0,0.00475343336553135
562,다사560457,0.0,0.00474639683797861
563,다사554452,0.0,0.00474513580633396
564,다사613441,0.0,0.00472722169674389
565,다사608431,0.0,0.00471190208890274
566,다사598419,0.0,0.00471182907142553
567,다사545442,0.0,0.00469166912849948
568,다사588436,0.0,0.00468978064511068
569,다사594437,0.0,0.00468423123073365
570,다사545446,0.0,0.00468079285063145
571,다사542425,0.0,0.00466691805108946
572,다사616441,0.0,0.00466605533089181
573,다사550436,0.0,0.00465696182841006
574,다사618436,0.0,0.00464684135830761
