"","pre"
"474",-6.17661595308329
"475",-5.5713582415217
"476",-3.64029505028526
"477",-4.60575784766738
"478",-4.73227071034333
"479",-5.99764471900677
"480",-5.46416451584899
"481",-5.728447167407
"482",-5.57183022908758
"483",-3.66306749283024
"484",-4.85739883224135
"485",-4.93994901660526
"486",-5.84298716069827
"487",-5.52496060300554
"488",-5.35767910845574
"489",-5.68237650028716
"490",-4.67617137264114
"491",-5.78490005603656
"492",-4.50711467913366
"493",-5.15236586676703
"494",-5.76206778123849
"495",-5.15871000289059
"496",-4.90679774151
"497",-5.35441762817746
"498",-5.72565402840763
"499",-6.16324343141088
"500",-5.81836919561335
"501",-3.61426426603414
"502",-3.65278768540397
"503",-6.13163565291245
"504",-4.97890241796469
"505",-5.64699635358412
"506",-5.13048355857581
"507",-4.30792766620925
"508",-5.85028126342867
"509",-4.53111182419923
"510",-3.68977026880282
"511",-5.02065348537596
"512",-5.93035193047819
"513",-5.47733205757106
"514",-6.18420300442258
"515",-4.33538637809655
"516",-8.36617468385562
"517",-5.87723865490651
"518",-5.36355346838275
"519",-4.44993138256123
"520",-4.91983540173104
"521",-5.68737963578291
"522",-5.46821378514263
"523",-6.11096902850963
"524",-4.91192619384515
"525",-5.53769699332271
"526",-4.49203840193548
"527",-3.82879185132253
"528",-5.57016363406974
"529",-5.99336823576787
"530",-6.10732197714443
"531",-5.94537031610552
"532",-5.33531457247181
"533",-4.29682750047182
"534",-5.51043690714119
"535",-4.13519349738687
"536",-5.27542423367323
"537",-5.13466204430412
"538",-4.13468572081306
"539",-6.0108278442334
"540",-5.05997226697717
"541",-4.75960570335338
"542",-5.50053443565567
"543",-3.1642872085572
"544",-4.99522555404897
"545",-5.37684883537751
"546",-5.28688823503582
"547",-5.85054698061023
"548",-5.9748124442087
"549",-5.32894237097904
"550",-3.19877199719107
"551",-5.8818890419271
"552",-5.05780824845329
"553",-4.71630250103503
"554",-5.51979096217717
"555",-5.83004329423448
"556",-2.2291699449479
"557",-6.17296890171809
"558",-3.98309212035924
"559",-4.22523932782673
"560",-6.2188110262466
"561",-4.36756557382298
"562",-5.78740774434913
"563",-4.9743952694961
"564",-4.99431891972225
"565",-5.26284027644935
"566",-3.89044545422408
"567",-4.9726594158624
"568",-5.32982276262815
"569",-5.10237001638039
"570",-4.6012301283552
"571",-3.57865169788295
"572",-5.88823317805066
"573",-5.45586319866834
"574",-4.70284159597934
"575",-5.2588878812078
"576",-5.28690205647226
"577",-5.60931015614369
"578",-4.11863159874917
"579",-6.0328995488704
"580",-5.71100906212564
"581",-5.23772944913667
"582",-4.04267499673609
"583",-5.32076291812609
"584",-6.10489060956762
"585",-5.37156756798016
"586",-5.24460501962333
"587",-5.77760595330615
"588",-5.87235144310778
"589",-4.76707329194873
"590",-6.02560544614
"591",-4.77662151280078
"592",-6.02921427850633
"593",-5.26595589345145
"594",-6.17053753414129
"595",-6.02074271098639
"596",-6.14136112321966
"597",-4.60242639358107
"598",-5.24528926904863
"599",-3.67282741274252
"600",-4.56335920445512
"601",-4.39666362162558
"602",-4.96309781507736
"603",-6.08543966895321
"604",-5.06831922238239
"605",-5.26891869539136
"606",-5.22314124367586
"607",-5.96387129011309
"608",-5.66903208086008
"609",-4.76414420602331
"610",-4.82048419253351
"611",-5.29128481266187
"612",-5.26764376866486
"613",-5.64361501940047
"614",-4.55629532780336
"615",-5.75706864846914
"616",-5.20043969613953
"617",-2.567112433338
"618",-4.92835037638659
"619",-5.42547618691356
"620",-5.92486637970593
"621",-5.76790288571649
"622",-4.70978219767504
"623",-3.93463185797582
"624",-4.63273745475663
"625",-3.02371853275858
"626",-6.01493000922594
"627",-3.8262239371611
"628",-5.6263297291813
