gid,pre,acci_cnt
다사561453,-5.583979989,0
다사608448,-5.58648944,0
다사633403,-5.586731951,0
다사587445,-5.58703418,0
다사567431,-5.587768124,0
다사610444,-5.59206023,0
다사607474,-5.592156733,0
다사581433,-5.597444632,0
다사597457,-5.597572632,0
다사547443,-5.597877476,0
다사582434,-5.603414046,0
다사626438,-5.604447421,0
다사546449,-5.608603196,0
다사601446,-5.609310156,0
다사647432,-5.612007241,0
다사551424,-5.614505587,0
다사647409,-5.615000972,0
다사571431,-5.618010756,0
다사565463,-5.618938287,0
다사572447,-5.619480115,0
다사561434,-5.619591151,0
다사596443,-5.625156057,0
다사595448,-5.626127881,0
다사606435,-5.626329729,0
다사598455,-5.629026814,0
다사608428,-5.629344839,0
다사560456,-5.631293719,0
다사653411,-5.631925019,0
다사608467,-5.634890074,0
다사574446,-5.635065881,0
다사567428,-5.636221126,0
다사587431,-5.63736371,0
다사570449,-5.639210514,0
다사608427,-5.639997481,0
다사615436,-5.643615019,0
다사574434,-5.644786979,0
다사563439,-5.646173465,0
다사650430,-5.646996354,0
다사603459,-5.650286596,0
다사650431,-5.652345576,0
다사598403,-5.65550614,0
다사551444,-5.656182817,0
다사589450,-5.656213445,0
다사568445,-5.656591447,0
다사610447,-5.657525964,0
다사605440,-5.661424704,0
다사542429,-5.66336882,0
다사576441,-5.666980583,0
다사603477,-5.669032081,0
다사599454,-5.669176928,0
다사563435,-5.672095533,0
다사550432,-5.675440093,0
다사612426,-5.678378426,0
다사605424,-5.681015565,0
다사598419,-5.6823765,0
다사561430,-5.682641509,0
다사604432,-5.683998302,0
다사565456,-5.686676216,0
다사652430,-5.687379636,0
다사620398,-5.690074336,0
다사590403,-5.698055073,0
다사587469,-5.698794475,0
다사575442,-5.70126235,0
다사615466,-5.70178738,0
다사555425,-5.702464245,0
다사593454,-5.702937102,0
다사554439,-5.704503591,0
다사619434,-5.705823828,0
다사657416,-5.707151125,0
다사593472,-5.707252845,0
다사562434,-5.709172889,0
다사579481,-5.711009062,0
다사649435,-5.711603011,0
다사575401,-5.713858962,0
다사567457,-5.714124679,0
다사564427,-5.715358832,0
다사576443,-5.715435826,0
다사586415,-5.719518849,0
다사569426,-5.722612662,0
다사607400,-5.724114386,0
다사588468,-5.725654028,0
다사583416,-5.726281517,0
다사544443,-5.72760402,0
다사615422,-5.728447167,0
다사591416,-5.730323888,0
다사555448,-5.732658744,0
다사650428,-5.733381811,0
다사609450,-5.734542149,0
다사598442,-5.73460722,0
다사616373,-5.746482657,0
다사597466,-5.749030154,0
다사572457,-5.750055344,0
다사591431,-5.750265104,0
다사593442,-5.752727163,0
다사551434,-5.753920451,0
다사580440,-5.754921039,0
다사599428,-5.757068648,0
다사569467,-5.757074399,0
다사547424,-5.758082338,0
다사548423,-5.758850048,0
다사600422,-5.760382396,0
다사617456,-5.760471841,0
다사582468,-5.760764845,0
다사589404,-5.762052935,0
다사622442,-5.762067781,0
다사612425,-5.767902886,0
다사547437,-5.768370676,0
다사549431,-5.768462314,0
다사575460,-5.773924462,0
다사659417,-5.776631887,0
다사614427,-5.776687998,0
다사649430,-5.777605953,0
다사605473,-5.777975366,0
다사599453,-5.783531279,0
다사611469,-5.784900056,0
다사545443,-5.785315763,0
다사594424,-5.785370208,0
다사574441,-5.787211792,0
다사581460,-5.787407744,0
다사628439,-5.78802206,0
다사576402,-5.789497074,0
다사574450,-5.790028508,0
다사576472,-5.791719291,0.5
다사570461,-5.791830458,0
다사572448,-5.792490666,0
다사546419,-5.792826375,0
다사594414,-5.794222578,0
다사547433,-5.794393753,0
다사659421,-5.798006861,0
다사588440,-5.801690799,0
다사572428,-5.802869596,0
다사595443,-5.806150072,0
다사558421,-5.806418503,0
다사597477,-5.806782364,0
다사556423,-5.807570943,0
다사627440,-5.807732331,0
다사604460,-5.810478898,0
다사561455,-5.812224504,0
다사583428,-5.815632781,0
다사607460,-5.818210663,0
다사599473,-5.818369196,0
다사612432,-5.818439531,0
다사579427,-5.819889169,0.5
다사562426,-5.824593044,0
다사603460,-5.828149745,0
다사664410,-5.829515746,0
다사547408,-5.829562797,0
다사610456,-5.830043294,0
다사614433,-5.835958775,0
다사552433,-5.83612305,0
다사631444,-5.837440176,0
다사578431,-5.839104264,0
다사600459,-5.83946705,0
다사588408,-5.842284364,0
