gid,acci_cnt,2030val,신호등,버스저녁하차,생활서비스,소매점,음식점,퇴근시간자전거
다사641425,0,105,5,0,0,1,0,50
다사599445,0,98,4,798.1666667,4,0,1,50
다사597405,0,0,1,512.6071429,0,0,0,50
다사613395,0,191,5,500.875,0,2,1,51
다사644430,0,172,8,0,0,0,2,51
다사612395,0,57,6,707.7916667,0,0,0,51
다사634427,0,32,6,0,0,0,0,51
다사594407,0,0,2,0,0,0,0,51
다사594406,0,0,2,0,0,0,0,51
다사620431,0,0,1,0,0,0,0,51
다사614424,0,100,1,1297.008333,1,3,0,52
다사590440,0,63,4,0,2,7,8,52
다사562426,0,38,2,1872.069444,0,6,6,52
다사546419,0,21,4,371.40625,0,1,0,52
다사599402,0,0,1,0,1,0,0,52
다사599404,0,0,1,0,0,1,0,52
다사569426,0,23,1,703.5,0,3,9,53
다사594434,0,152,7,602.7222222,0,0,0,54
다사593434,0,104,1,0,2,6,4,54
다사556424,0,63,2,2340.680556,0,1,1,54
다사642415,0,29,3,1984.75,1,3,6,54
다사581432,0,25,2,137.6666667,4,3,16,54
다사569442,0,0,7,1354.375,3,0,2,54
다사607400,0,0,3,623.25,0,1,0,54
다사643415,0,0,3,0,2,0,4,54
다사569441,1,0,7,0,1,1,2,54
다사563435,0,0,5,0,0,1,0,54
다사604390,0,0,9,0,0,0,0,54
다사572429,0,218,13,0,3,0,4,55
다사573430,0,47,2,2288.6875,2,1,18,55
다사596446,0,0,4,910.4583333,1,1,10,55
다사563441,0,0,4,174.7083333,0,0,1,55
다사589403,0,0,1,0,12,17,17,55
다사575446,0,0,1,0,0,0,0,55
다사629429,0,118,1,0,2,5,5,56
다사548432,0,100,3,0,10,6,3,56
다사613396,0,0,1,2051.083333,1,0,0,56
다사593448,0,0,4,0,0,3,1,56
다사573427,0,0,4,0,0,0,2,56
다사553429,0,90,3,0,5,9,14,57
다사604418,0,59,4,636.6666667,3,0,7,57
다사577429,0,44,2,0,2,3,5,57
다사602403,0,11,1,0,2,1,3,57
다사569444,0,0,6,1399.375,1,0,0,57
다사587445,0,0,2,568.9896907,4,4,4,57
다사587446,0,0,1,0,1,2,6,57
다사569445,0,0,1,0,0,0,0,57
다사605448,0,85,1,0,7,10,5,58
다사606448,0,74,1,0,6,7,6,58
다사605447,0,67,3,0,1,7,3,58
다사547424,0,14,4,0,0,0,0,58
다사590436,0,0,4,0,3,13,7,58
다사582452,0,85,4,0,0,1,1,59
다사628426,0,44,6,1310.325433,0,0,0,59
다사607388,0,31,5,0,2,2,8,59
다사577427,0,0,5,680.3888889,1,0,0,59
다사606388,0,0,4,0,1,3,10,59
다사661417,0,0,7,0,0,0,0,59
다사566428,0,101,2,0,0,6,5,60
다사559439,0,97,1,0,2,4,1,60
다사593442,0,83,4,1249.222222,5,9,8,60
다사605424,0,26,4,361.2407407,0,0,0,60
다사605425,0,13,12,0,0,0,0,60
다사581448,1,0,2,0,5,10,32,60
다사588437,0,176,3,0,2,4,4,61
다사588438,0,69,3,0,1,2,5,61
다사596444,0,14,1,1271.611111,0,1,5,61
다사587439,0,6,12,0,4,19,16,61
다사597444,0,0,12,873.3333333,0,0,0,61
다사596443,0,0,3,0,3,3,4,61
다사638436,0,0,2,0,0,0,0,61
다사582438,0,220,2,0,2,1,5,62
다사581438,0,154,3,611.3611111,0,0,0,62
다사584430,0,72,3,0,3,6,10,62
다사573447,0,62,14,509.8333333,0,0,0,62
다사584429,0,61,4,0,3,1,11,62
다사572447,0,53,6,137.75,0,0,0,62
다사609397,0,51,1,0,1,1,1,62
다사610397,0,8,12,0,0,0,0,62
다사578431,0,6,1,242.5,2,1,2,62
다사631430,0,0,4,179,5,3,2,62
다사581437,0,0,12,0,0,1,9,62
다사582437,0,0,1,0,0,0,1,62
다사594451,0,31,2,921.4444444,3,3,11,63
다사561428,0,24,2,0,0,1,0,63
다사574397,0,0,2,97.25,0,0,0,63
다사607420,0,52,1,0,1,1,0,64
다사590447,1,0,11,4648.783784,2,3,16,64
다사590446,0,0,5,0,5,6,29,64
다사563439,0,0,2,0,1,0,3,64
다사564437,0,0,11,0,0,0,2,64
다사585453,0,65,2,0,0,0,4,65
다사559426,0,53,3,1795.901786,0,0,0,65
다사542420,0,0,4,4518.583333,0,0,2,65
다사579427,1,0,3,0,0,0,0,65
다사608396,0,0,1,0,0,0,0,65
다사623433,0,0,12,403.2013889,0,0,0,66
다사634428,0,152,6,0,0,0,0,67
다사581456,0,108,2,0,11,8,8,67
다사602447,0,93,1,1745.333333,0,1,1,67
다사557440,0,90,1,0,1,0,0,67
다사602446,0,69,5,1224.416667,0,2,3,67
다사603447,0,63,3,1072.25,3,0,7,67
다사603446,0,32,3,553.5694444,2,6,11,67
다사556430,0,14,2,0,0,0,0,67
다사612425,0,0,2,505.6666667,0,0,0,67
다사602396,0,0,1,0,0,0,0,67
다사596449,1,0,4,416.5520833,0,7,3,68
다사634430,0,0,8,0,0,0,0,68
다사633430,0,0,1,0,0,0,0,68
다사606438,0,178,2,0,0,0,0,69
다사602423,0,21,4,0,0,1,1,69
다사605438,0,0,2,0,0,0,0,69
다사602414,0,72,4,1678.270833,0,1,0,70
다사588452,0,29,3,2671.783784,3,1,5,70
다사597439,0,29,4,0,1,3,3,70
다사588451,0,22,2,0,0,3,5,70
다사602414,0,0,4,1678.270833,0,1,0,70
다사582410,0,0,5,1154.333333,0,0,0,70
다사614427,0,0,1,663.875,0,0,1,70
다사574426,0,0,1,0,0,1,0,70
다사583420,0,0,1,0,0,0,0,70
다사600437,0,130,1,0,0,0,0,71
다사552439,0,51,4,938.4166667,1,0,8,71
다사551439,0,51,1,0,3,3,8,71
다사593411,0,6,6,0,0,0,5,71
다사599439,0,0,10,662,0,0,1,71
다사650426,0,0,11,461.9106061,0,0,0,71
다사610398,0,0,8,95.29166667,3,4,7,71
다사566437,0,0,3,0,16,3,18,71
다사573440,1,0,4,0,0,2,5,71
다사651426,0,0,7,0,0,0,0,71
다사599437,0,0,1,0,0,0,0,71
다사574434,0,26,4,571.5,0,1,1,72
다사561431,0,12,3,1065.25,4,2,2,72
다사585444,0,12,4,0,2,4,7,72
다사640428,0,0,7,624.0591036,0,0,0,72
다사599454,0,0,3,0,4,2,0,72
다사646416,0,0,7,0,0,0,1,72
다사639428,0,0,1,0,0,0,0,72
다사600449,0,151,3,0,5,2,25,73
다사635437,0,92,3,2710.166667,4,1,7,73
다사575442,0,91,2,151.25,8,2,2,73
다사632440,0,72,4,0,1,1,2,73
다사576441,0,46,4,0,1,0,2,73
