,gid,COUNT
1000,다사559451,483
1001,다사559452,831
1002,다사559453,652
1003,다사559454,975
1004,다사559455,1001
1005,다사559456,653
1006,다사559457,1405
1007,다사559458,1082
1008,다사559459,1618
1009,다사559460,1288
1010,다사559461,1558
1011,다사559462,1213
1012,다사559463,677
1013,다사559464,886
1014,다사559465,616
1015,다사559466,830
1016,다사559467,829
1017,다사559468,620
1018,다사559469,1000
1019,다사560409,0
1020,다사560410,1
1021,다사560411,1
1022,다사560412,1
1023,다사560413,1
1024,다사560414,2
1025,다사560415,1
1026,다사560416,1
1027,다사560417,11
1028,다사560418,10
1029,다사560419,10
1030,다사560420,10
1031,다사560421,14
1032,다사560422,4
1033,다사560423,4
1034,다사560424,27
1035,다사560425,23
1036,다사560426,23
1037,다사560427,23
1038,다사560428,40
1039,다사560429,17
1040,다사560430,17
1041,다사560431,50
1042,다사560432,33
1043,다사560433,33
1044,다사560434,33
1045,다사560435,78
1046,다사560436,45
1047,다사560437,45
1048,다사560438,75
1049,다사560439,30
1050,다사560440,30
1051,다사560441,30
1052,다사560442,89
1053,다사560443,59
1054,다사560444,59
1055,다사560445,168
1056,다사560446,109
1057,다사560447,109
1058,다사560448,288
1059,다사560449,179
1060,다사560450,179
1061,다사560451,179
1062,다사560452,527
1063,다사560453,348
1064,다사560454,348
1065,다사560455,1001
1066,다사560456,330
1067,다사560457,330
1068,다사560458,330
1069,다사560459,1618
1070,다사560460,536
1071,다사560461,536
1072,다사560462,1213
1073,다사560463,407
1074,다사560464,407
1075,다사560465,407
1076,다사560466,830
1077,다사560467,214
1078,다사560468,214
1079,다사560469,1000
1080,다사561406,0
1081,다사561407,0
1082,다사561408,0
1083,다사561409,0
1084,다사561410,2
1085,다사561411,2
1086,다사561412,1
1087,다사561413,2
1088,다사561414,3
1089,다사561415,1
1090,다사561416,1
1091,다사561417,12
1092,다사561418,11
1093,다사561419,10
1094,다사561420,20
1095,다사561421,24
1096,다사561422,4
1097,다사561423,4
1098,다사561424,33
1099,다사561425,23
1100,다사561426,23
1101,다사561427,46
1102,다사561428,63
1103,다사561429,17
1104,다사561430,17
1105,다사561431,72
1106,다사561432,33
1107,다사561433,33
1108,다사561434,87
1109,다사561435,132
1110,다사561436,45
1111,다사561437,45
1112,다사561438,139
1113,다사561439,30
1114,다사561440,30
1115,다사561441,144
1116,다사561442,144
1117,다사561443,59
1118,다사561444,59
1119,다사561445,227
1120,다사561446,109
1121,다사561447,109
1122,다사561448,383
1123,다사561449,179
1124,다사561450,179
1125,다사561451,179
1126,다사561452,670
1127,다사561453,348
1128,다사561454,348
1129,다사561455,678
1130,다사561456,330
1131,다사561457,330
1132,다사561458,330
1133,다사561459,866
1134,다사561460,536
1135,다사561461,536
1136,다사561462,943
1137,다사561463,407
1138,다사561464,407
1139,다사561465,407
1140,다사561466,621
1141,다사561467,214
1142,다사561468,214
1143,다사561469,594
1144,다사561470,380
1145,다사562404,0
1146,다사562405,0
1147,다사562406,0
1148,다사562407,0
1149,다사562408,0
1150,다사562409,1
1151,다사562410,1
1152,다사562411,2
1153,다사562412,3
1154,다사562413,2
1155,다사562414,2
1156,다사562415,2
1157,다사562416,3
1158,다사562417,2
1159,다사562418,11
1160,다사562419,21
1161,다사562420,20
1162,다사562421,14
1163,다사562422,20
1164,다사562423,10
1165,다사562424,33
1166,다사562425,29
1167,다사562426,52
1168,다사562427,46
1169,다사562428,40
1170,다사562429,62
1171,다사562430,39
1172,다사562431,72
1173,다사562432,55
1174,다사562433,109
1175,다사562434,87
1176,다사562435,99
1177,다사562436,163
1178,다사562437,109
1179,다사562438,139
1180,다사562439,94
1181,다사562440,149
1182,다사562441,85
1183,다사562442,114
1184,다사562443,173
1185,다사562444,118
1186,다사562445,227
1187,다사562446,168
1188,다사562447,263
1189,다사562448,383
1190,다사562449,274
1191,다사562450,417
1192,다사562451,322
1193,다사562452,670
1194,다사562453,491
1195,다사562454,689
1196,다사562455,876
1197,다사562456,528
1198,다사562457,802
1199,다사562458,604
1200,다사562459,1140
1201,다사562460,810
1202,다사562461,1011
1203,다사562462,1418
1204,다사562463,882
1205,다사562464,1365
1206,다사562465,890
1207,다사562466,1104
1208,다사562467,697
1209,다사562468,401
1210,다사562469,781
1211,다사562470,567
1212,다사562471,742
1213,다사563402,0
1214,다사563403,0
1215,다사563404,0
1216,다사563405,0
1217,다사563406,0
1218,다사563407,0
1219,다사563408,0
1220,다사563409,1
1221,다사563410,1
1222,다사563411,1
1223,다사563412,2
1224,다사563413,1
1225,다사563414,1
1226,다사563415,1
1227,다사563416,2
1228,다사563417,1
1229,다사563418,1
1230,다사563419,11
1231,다사563420,10
1232,다사563421,10
1233,다사563422,16
1234,다사563423,6
1235,다사563424,6
1236,다사563425,6
